plan_id,plan_title,plan_status,created_at,task_id,task_title,task_status,step_id,step_ord,step_text,step_status
20260814_Agent-分屏-pane-重构-C-kanban-式,Agent 分屏 pane 重构（C+kanban 式）,open,2026-08-14 02:36:16,1,删除旧真分屏代码,done,,,,
20260814_Agent-分屏-pane-重构-C-kanban-式,Agent 分屏 pane 重构（C+kanban 式）,open,2026-08-14 02:36:16,2,实现 Agent 分屏 pane（方案C+kanban）,done,,,,
20260814_Agent-分屏-pane-重构-C-kanban-式,Agent 分屏 pane 重构（C+kanban 式）,open,2026-08-14 02:36:16,3,2.0 升级：模式切换+一比一复刻+看板式横向滚动,done,,,,
20260814_Agent-分屏-pane-重构-C-kanban-式,Agent 分屏 pane 重构（C+kanban 式）,open,2026-08-14 02:36:16,4,2.1 修复：单实例去污染+工具卡片复刻+嵌套看板,done,,,,
20260814_AgentLoop-自主循环-前端定时任务,AgentLoop 自主循环 + 前端定时任务,open,2026-08-14 17:34:37,14,T1(P0) AgentLoop 核心: LoopTask + 状态机 + queue 消息泵 + 串行FIFO + 完成语义,done,1,1,T1红: 写 AgentLoop 失败测试(确定性/完成语义/状态机/FIFO) 并确认 FAIL,done
20260814_AgentLoop-自主循环-前端定时任务,AgentLoop 自主循环 + 前端定时任务,open,2026-08-14 17:34:37,14,T1(P0) AgentLoop 核心: LoopTask + 状态机 + queue 消息泵 + 串行FIFO + 完成语义,done,2,2,T1绿: 实现 mcp/harness/loop.py (AgentLoop/LoopTask/TaskStatus/状态机/queue消息泵) 9 测试通过,done
20260814_AgentLoop-自主循环-前端定时任务,AgentLoop 自主循环 + 前端定时任务,open,2026-08-14 17:34:37,15,T2(P1) 防失控 + automation 初始化接线,done,3,1,T2红绿: 预算强制停(max_turns/时长)+EventBus广播+middleware横切测试 红(3失败)→绿(9passed); 修复 ws2_tools 3处 ..automation 越界导入 + _get_engine 幂等start(),done
20260814_AgentLoop-自主循环-前端定时任务,AgentLoop 自主循环 + 前端定时任务,open,2026-08-14 17:34:37,16,T3(P2) FrontendScheduler 前端定时任务框架 + pollState 轮询器,done,4,1,T3红绿: FrontendScheduler 前端定时框架 + pollState 轮询器 测试(假timer) 红(模块不存在)→绿(5PASS); harness/__init__ 导出 AgentLoop,done
20260814_AgentLoop-面板接线-T4,AgentLoop 面板接线 T4,open,2026-08-14 17:48:16,17,T4a 后端 ws2_loop_* 工具,done,5,1,T4a红绿: ws2_loop_submit/list/control 工具 + AgentLoop.set_runner + get_ws2_tools 注册; 红(工具不存在)→绿(13passed 含回归),done
20260814_AgentLoop-面板接线-T4,AgentLoop 面板接线 T4,open,2026-08-14 17:48:16,18,T4b FastAPI /api/loop/* 端点,done,6,1,T4b红绿: mcp/server/loop_api.py (state/submit/control 三端点) + app.py include_router + PUBLIC_ENDPOINTS; 红(模块不存在)→绿(4passed + 挂载验证3端点),done
20260814_AgentLoop-面板接线-T4,AgentLoop 面板接线 T4,open,2026-08-14 17:48:16,19,T4c 前端 loop-panel 组件,done,7,1,T4c红绿: loop-panel.js 组件(renderTasks/statusBadge纯函数 + createLoopPanel mount/refresh/submit) + loop-panel-init.js 引导 + index.html 引入; 红(模块不存在)→绿(9node PASS),done
20260814_AgentLoop-面板接线-T4,AgentLoop 面板接线 T4,open,2026-08-14 17:48:16,19,T4c 前端 loop-panel 组件,done,8,2,T4c调整: 按用户指示改为集成进发现面板(agentDiscoverPanel) - 加 Loop tab(index.html) + _renderDiscoverList loop分支 + _mountLoopPanelInDiscover(app.js) + loop-panel-init 兜底化; 移除独立容器方案; 全量验证绿,done
20260814_loop-macdev-交接审计,loop × macdev 交接审计,open,2026-08-14 21:26:20,28,T2 macdev 对抗性审计,open,,,,
20260814_loop-macdev-交接审计,loop × macdev 交接审计,open,2026-08-14 21:26:20,29,T3 前端交接卡片,open,,,,
20260814_loop-macdev-交接审计,loop × macdev 交接审计,open,2026-08-14 21:26:20,30,T1 交接笔记生成,open,,,,
20260814_loop-macdev-交接审计,loop × macdev 交接审计,open,2026-08-14 21:26:20,31,T0 上下文共享改造（新方向 spec id=4）,open,,,,
20260814_loop-会话化重构,loop 会话化重构,open,2026-08-14 20:55:06,22,T2 API 层：详情 + 消息介入,open,,,,
20260814_loop-会话化重构,loop 会话化重构,open,2026-08-14 20:55:06,23,T3 前端层：会话视图复用 Agent 渲染,open,,,,
20260814_loop-会话化重构,loop 会话化重构,open,2026-08-14 20:55:06,24,T1 数据层：LoopTask 消息流,open,,,,
20260814_loop-会话级模式切换,loop 会话级模式切换,open,2026-08-14 21:11:11,25,T3 前端：模式开关 + 同流渲染,open,,,,
20260814_loop-会话级模式切换,loop 会话级模式切换,open,2026-08-14 21:11:11,26,T1 数据层：session_id + turn 事件,open,,,,
20260814_loop-会话级模式切换,loop 会话级模式切换,open,2026-08-14 21:11:11,27,T2 API 层：submit 带 session + 按会话查询,open,,,,
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,32,T2 loop API + 前端：入队端点 + 队列显示,done,26,1,写失败测试：loop_task_message 返回 queue_len/pending_inputs + PAUSED 不再 409,open
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,32,T2 loop API + 前端：入队端点 + 队列显示,done,27,2,实现：loop_api.py 入队端点（enqueue_input）+ loop-panel.js 队列徽标与列表渲染,open
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,32,T2 loop API + 前端：入队端点 + 队列显示,done,28,3,回归：API 测试转绿；浏览器验证队列徽标显示（Playwright）,open
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,33,T1 loop 数据层：pending_inputs FIFO 队列,done,23,1,写失败测试：enqueue 两条不覆盖 + FIFO pop(0) 顺序消费 + PAUSED 允许入队,done
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,33,T1 loop 数据层：pending_inputs FIFO 队列,done,24,2,实现：LoopTask.pending_inputs:List[str] + enqueue_input() append + _run_task pop(0) 消费 + snapshot 暴露,done
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,33,T1 loop 数据层：pending_inputs FIFO 队列,done,25,3,回归：队列相关测试转绿，既有测试保持绿,done
20260814_msg-queue-fifo,FIFO 消息队列 + 运行时插入（loop 自主 + 普通模式）,open,2026-08-14 22:42:54,34,T4 普通模式前端：打断插入 + 队列同步 + 徽标,done,32,1,写失败测试：前端逻辑——流式中发送转 interrupt（fetch mock 断言 interrupt 调用 + 队列同步）,done
